timestamp,price,ribbon_state,MMA5_value,MMA5_color,MMA5_intensity,MMA10_value,MMA10_color,MMA10_intensity,MMA15_value,MMA15_color,MMA15_intensity,MMA20_value,MMA20_color,MMA20_intensity,MMA25_value,MMA25_color,MMA25_intensity,MMA30_value,MMA30_color,MMA30_intensity,MMA35_value,MMA35_color,MMA35_intensity,MMA40_value,MMA40_color,MMA40_intensity,MMA45_value,MMA45_color,MMA45_intensity,MMA50_value,MMA50_color,MMA50_intensity,MMA55_value,MMA55_color,MMA55_intensity,MMA60_value,MMA60_color,MMA60_intensity,MMA65_value,MMA65_color,MMA65_intensity,MMA70_value,MMA70_color,MMA70_intensity,MMA75_value,MMA75_color,MMA75_intensity,MMA80_value,MMA80_color,MMA80_intensity,MMA85_value,MMA85_color,MMA85_intensity,MMA90_value,MMA90_color,MMA90_intensity,MMA100_value,MMA100_color,MMA100_intensity,MMA105_value,MMA105_color,MMA105_intensity,MMA110_value,MMA110_color,MMA110_intensity,MMA115_value,MMA115_color,MMA115_intensity,MMA120_value,MMA120_color,MMA120_intensity,MMA125_value,MMA125_color,MMA125_intensity,MMA130_value,MMA130_color,MMA130_intensity,MMA135_value,MMA135_color,MMA135_intensity,MMA140_value,MMA140_color,MMA140_intensity,MMA145_value,MMA145_color,MMA145_intensity
2025-10-16T21:34:01.685233,3831.25,all_red,3846.88,red,dark,3855.04,red,dark,3859.17,red,dark,3862.01,red,dark,3864.36,red,dark,3868.50,red,dark,3872.34,red,dark,3874.20,yellow,normal,3876.03,red,dark,3877.85,red,dark,3879.65,red,dark,3881.45,red,dark,3883.25,red,dark,3885.94,red,dark,3888.64,red,dark,3890.42,red,dark,3892.21,red,dark,3894.86,red,dark,3900.93,yellow,normal,3905.11,red,dark,3909.14,red,dark,3913.00,red,dark,3916.68,red,dark,3920.18,red,dark,3923.49,red,dark,3926.63,red,dark,3929.60,red,dark,,red,dark
2025-10-16T21:34:12.575312,3831.15,all_red,3846.88,red,dark,3855.04,red,dark,3859.17,red,dark,3862.01,red,dark,3864.36,red,dark,3868.50,red,dark,3872.34,red,dark,3874.20,yellow,normal,3876.03,red,dark,3877.85,red,dark,3879.65,red,dark,3881.45,red,dark,3883.25,red,dark,3885.94,red,dark,3888.64,red,dark,3890.42,red,dark,3892.21,red,dark,3894.86,red,dark,3900.93,yellow,normal,3905.11,red,dark,3909.14,red,dark,3913.00,red,dark,3916.68,red,dark,3920.18,red,dark,3923.49,red,dark,3926.63,red,dark,3929.60,red,dark,,red,dark
2025-10-16T21:34:23.573250,3829.85,all_red,3846.88,red,dark,3855.04,red,dark,3859.17,red,dark,3862.01,red,dark,3864.36,red,dark,3868.50,red,dark,3872.34,red,dark,3874.20,yellow,normal,3876.03,red,dark,3877.85,red,dark,3879.65,red,dark,3881.45,red,dark,3883.25,red,dark,3885.94,red,dark,3888.64,red,dark,3890.42,red,dark,3892.21,red,dark,3894.86,red,dark,3900.93,yellow,normal,3905.11,red,dark,3909.14,red,dark,3913.00,red,dark,3916.68,red,dark,3920.18,red,dark,3923.49,red,dark,3926.63,red,dark,3929.60,red,dark,,red,dark
2025-10-16T21:34:34.395668,3826.25,all_red,3846.88,red,dark,3855.04,red,dark,3859.17,red,dark,3862.01,red,dark,3864.36,red,dark,3868.50,red,dark,3872.34,red,dark,3874.20,yellow,normal,3876.03,red,dark,3877.85,red,dark,3879.65,red,dark,3881.45,red,dark,3883.25,red,dark,3885.94,red,dark,3888.64,red,dark,3890.42,red,dark,3892.21,red,dark,3894.86,red,dark,3900.93,yellow,normal,3905.11,red,dark,3909.14,red,dark,3913.00,red,dark,3916.68,red,dark,3920.18,red,dark,3923.49,red,dark,3926.63,red,dark,3929.60,red,dark,,red,dark
2025-10-16T21:34:45.329755,3825.55,all_red,3843.78,red,dark,3853.18,red,dark,3857.84,red,dark,3860.98,red,dark,3863.51,red,dark,3867.89,red,dark,3871.85,red,dark,3873.76,yellow,normal,3875.63,red,dark,3877.47,red,dark,3879.31,red,dark,3881.13,red,dark,3882.95,red,dark,3885.67,red,dark,3888.38,red,dark,3890.19,red,dark,3891.98,red,dark,3894.65,red,dark,3900.75,yellow,normal,3904.95,red,dark,3908.99,red,dark,3912.86,red,dark,3916.55,red,dark,3920.06,red,dark,3923.38,red,dark,3926.52,red,dark,3929.49,red,dark,,red,dark
2025-10-16T21:34:56.472489,3825.75,all_red,3841.72,red,dark,3851.94,red,dark,3856.95,red,dark,3860.29,red,dark,3862.95,red,dark,3867.47,red,dark,3871.53,red,dark,3873.46,yellow,normal,3875.36,red,dark,3877.23,red,dark,3879.08,red,dark,3880.92,red,dark,3882.75,red,dark,3885.49,red,dark,3888.22,red,dark,3890.03,red,dark,3891.83,red,dark,3894.51,red,dark,3900.63,yellow,normal,3904.84,red,dark,3908.89,red,dark,3912.77,red,dark,3916.46,red,dark,3919.97,red,dark,3923.30,red,dark,3926.45,red,dark,3929.43,red,dark,,red,dark
2025-10-16T21:35:07.471108,3833.35,all_red,3837.22,red,dark,3845.59,red,dark,3851.12,red,dark,3855.06,red,dark,3858.22,red,dark,3863.43,red,dark,3867.92,red,dark,3870.02,yellow,normal,3872.05,red,dark,3874.04,red,dark,3875.99,red,dark,3877.92,red,dark,3879.83,red,dark,3882.66,red,dark,3885.47,red,dark,3887.33,red,dark,3889.18,red,dark,3891.92,red,dark,3898.15,yellow,normal,3902.43,red,dark,3906.55,red,dark,3910.49,red,dark,3914.24,red,dark,3917.81,red,dark,3921.18,red,dark,3924.38,red,dark,3927.41,red,dark,,red,dark
2025-10-16T21:35:18.808605,3833.35,all_red,3839.95,red,dark,3847.23,red,dark,3852.29,red,dark,3855.97,red,dark,3858.97,red,dark,3863.97,red,dark,3868.35,red,dark,3870.41,yellow,normal,3872.41,red,dark,3874.36,red,dark,3876.29,red,dark,3878.20,red,dark,3880.09,red,dark,3882.90,red,dark,3885.69,red,dark,3887.54,red,dark,3889.38,red,dark,3892.10,red,dark,3898.31,yellow,normal,3902.58,red,dark,3906.69,red,dark,3910.61,red,dark,3914.36,red,dark,3917.91,red,dark,3921.29,red,dark,3924.48,red,dark,3927.50,red,dark,,red,dark
2025-10-16T21:35:29.601154,3837.45,all_red,3839.56,red,dark,3846.99,red,dark,3852.12,red,dark,3855.84,red,dark,3858.86,red,dark,3863.90,red,dark,3868.29,red,dark,3870.35,yellow,normal,3872.36,red,dark,3874.32,red,dark,3876.25,red,dark,3878.16,red,dark,3880.05,red,dark,3882.87,red,dark,3885.66,red,dark,3887.51,red,dark,3889.35,red,dark,3892.08,red,dark,3898.29,yellow,normal,3902.56,red,dark,3906.67,red,dark,3910.60,red,dark,3914.34,red,dark,3917.90,red,dark,3921.27,red,dark,3924.46,red,dark,3927.48,red,dark,,red,dark
2025-10-16T21:35:40.541701,3835.65,all_red,3842.60,red,dark,3848.82,red,dark,3853.42,red,dark,3856.86,red,dark,3859.69,red,dark,3864.50,red,dark,3868.77,red,dark,3870.79,yellow,normal,3872.75,red,dark,3874.68,red,dark,3876.59,red,dark,3878.47,red,dark,3880.35,red,dark,3883.14,red,dark,3885.91,red,dark,3887.75,red,dark,3889.57,red,dark,3892.29,red,dark,3898.47,yellow,normal,3902.72,red,dark,3906.82,red,dark,3910.74,red,dark,3914.47,red,dark,3918.02,red,dark,3921.38,red,dark,3924.57,red,dark,3927.58,red,dark,,red,dark
